Starz,558,3.405017921146,21.505376344086,2.867383512544
Hulu,1876,15.191897654584,40.245202558635,1.332622601279
AMC+,950,3.578947368421,29.894736842105,2.736842105263
MUBI,159,3.773584905660,43.396226415094,1.257861635220
Peacock,1121,9.901873327386,42.016057091882,2.230151650312
Criterion Channel,904,11.836283185840,60.508849557522,0.884955752212
Netflix,4103,12.649281013892,39.093346331952,0.853034365098
Shudder,372,1.075268817204,20.967741935483,3.494623655913
Paramount Plus,1523,9.586342744583,38.214051214707,2.166776099803
Amazon Prime Video,4667,6.642382686950,31.326333833297,3.321191343475
MGM Plus,825,7.151515151515,33.575757575757,1.212121212121
Sundance Now,310,2.903225806451,23.870967741935,2.580645161290
Disney Plus,1479,8.722109533468,42.663962136578,1.284651791751
HBO Max,1639,16.168395363026,46.125686394142,1.586333129957
A24 (Prestige Benchmark),83,2.409638554216,34.939759036144,1.204819277108
