Criterion Channel,585,7.450000
Hulu,1160,7.350000
HBO Max,1037,7.330000
Peacock,632,7.330000
MGM Plus,551,7.190000
Disney Plus,967,7.190000
Paramount Plus,935,7.180000
A24 (Prestige Benchmark),68,7.180000
Netflix,2952,7.170000
AMC+,719,7.090000
MUBI,123,7.040000
Amazon Prime Video,2926,6.850000
Starz,409,6.710000
Sundance Now,262,6.660000
Shudder,310,6.540000
