MGM Plus,Sci-Fi & Fantasy,9,8.090000
MGM Plus,Action & Adventure,4,8.050000
MGM Plus,War,29,7.720000
MGM Plus,History,36,7.710000
MGM Plus,Western,32,7.610000
MGM Plus,Drama,272,7.490000
MGM Plus,War & Politics,2,7.360000
MGM Plus,Romance,97,7.360000
MGM Plus,Comedy,192,7.230000
MGM Plus,Animation,8,7.100000
MGM Plus,Science Fiction,63,7.090000
MGM Plus,Mystery,68,7.040000
MGM Plus,Crime,117,7.030000
MGM Plus,Thriller,152,7.010000
MGM Plus,Documentary,1,6.980000
MGM Plus,Adventure,80,6.980000
MGM Plus,Action,120,6.940000
MGM Plus,Family,26,6.910000
MGM Plus,Fantasy,33,6.810000
MGM Plus,Music,15,6.720000
MGM Plus,Horror,70,6.460000
MGM Plus,TV Movie,1,6.140000
MUBI,War & Politics,1,8.140000
MUBI,Mystery,10,7.580000
MUBI,Documentary,1,7.580000
MUBI,History,5,7.490000
MUBI,Adventure,4,7.250000
MUBI,Crime,15,7.220000
MUBI,Thriller,28,7.080000
MUBI,Drama,99,7.060000
MUBI,Fantasy,10,7.020000
MUBI,Action,8,6.980000
MUBI,Romance,25,6.960000
MUBI,Western,2,6.880000
MUBI,Science Fiction,6,6.780000
MUBI,Comedy,30,6.770000
MUBI,Horror,13,6.750000
MUBI,War,1,6.740000
Netflix,Sci-Fi & Fantasy,356,8.080000
Netflix,Action & Adventure,290,8.070000
Netflix,War & Politics,38,7.780000
Netflix,Soap,4,7.720000
Netflix,Animation,424,7.680000
Netflix,Kids,66,7.670000
Netflix,War,40,7.610000
Netflix,Music,61,7.580000
Netflix,History,76,7.450000
Netflix,Drama,1567,7.440000
Netflix,Mystery,401,7.320000
Netflix,Documentary,217,7.300000
Netflix,Crime,544,7.290000
Netflix,News,2,7.120000
Netflix,Family,221,7.070000
Netflix,Comedy,973,6.970000
Netflix,Fantasy,176,6.910000
Netflix,TV Movie,18,6.910000
Netflix,Adventure,251,6.900000
Netflix,Reality,41,6.870000
Netflix,Talk,10,6.860000
Netflix,Romance,255,6.830000
Netflix,Science Fiction,117,6.790000
Netflix,Western,15,6.780000
Netflix,Action,365,6.770000
Netflix,Thriller,402,6.690000
Netflix,Horror,167,6.500000
Paramount Plus,War & Politics,3,7.970000
Paramount Plus,Sci-Fi & Fantasy,43,7.850000
Paramount Plus,Action & Adventure,48,7.850000
Paramount Plus,Western,24,7.810000
Paramount Plus,Kids,49,7.730000
Paramount Plus,Drama,431,7.560000
Paramount Plus,Crime,165,7.490000
Paramount Plus,History,35,7.430000
Paramount Plus,Animation,94,7.350000
Paramount Plus,War,28,7.350000
Paramount Plus,Reality,20,7.300000
Paramount Plus,Romance,126,7.210000
Paramount Plus,Soap,5,7.190000
Paramount Plus,Mystery,87,7.140000
Paramount Plus,Comedy,368,7.070000
Paramount Plus,TV Movie,13,7.030000
Paramount Plus,Thriller,194,6.980000
Paramount Plus,Adventure,128,6.950000
Paramount Plus,Family,104,6.950000
Paramount Plus,Science Fiction,89,6.920000
Paramount Plus,Music,23,6.880000
Paramount Plus,Action,176,6.880000
Paramount Plus,Fantasy,47,6.780000
Paramount Plus,Documentary,15,6.610000
Paramount Plus,Horror,75,6.560000
Paramount Plus,News,3,6.500000
Paramount Plus,Talk,3,6.400000
Peacock,Sci-Fi & Fantasy,85,8.040000
Peacock,Soap,18,7.920000
Peacock,Action & Adventure,73,7.770000
Peacock,War & Politics,6,7.640000
Peacock,Mystery,81,7.630000
Peacock,Drama,306,7.620000
Peacock,Fantasy,40,7.540000
Peacock,Western,8,7.520000
Peacock,History,14,7.510000
Peacock,Documentary,12,7.430000
Peacock,Crime,111,7.400000
Peacock,Adventure,55,7.400000
Peacock,Animation,58,7.290000
Peacock,Family,57,7.170000
Peacock,Science Fiction,41,7.070000
Peacock,Comedy,225,7.050000
Peacock,Kids,10,7.040000
Peacock,Thriller,80,7.030000
Peacock,Music,11,7.020000
Peacock,News,1,6.970000
Peacock,Romance,39,6.930000
Peacock,Reality,29,6.870000
Peacock,War,4,6.810000
Peacock,Talk,7,6.760000
Peacock,Action,60,6.750000
Peacock,Horror,62,6.440000
Peacock,TV Movie,7,5.160000
Shudder,History,1,7.500000
Shudder,Sci-Fi & Fantasy,10,7.430000
Shudder,Action & Adventure,1,7.300000
Shudder,Music,2,7.010000
Shudder,Crime,22,6.880000
Shudder,Drama,67,6.790000
Shudder,Mystery,79,6.780000
Shudder,Animation,3,6.620000
Shudder,Thriller,130,6.600000
Shudder,Western,4,6.520000
Shudder,Comedy,35,6.500000
Shudder,Horror,261,6.460000
Shudder,Fantasy,33,6.360000
Shudder,War,1,6.230000
Shudder,Romance,5,6.140000
Shudder,Action,31,6.140000
Shudder,Science Fiction,36,6.130000
Shudder,Adventure,6,6.070000
Shudder,Documentary,2,5.680000
Shudder,TV Movie,2,4.320000
Starz,Western,6,8.020000
Starz,Sci-Fi & Fantasy,2,8.010000
Starz,War & Politics,1,7.700000
Starz,Action & Adventure,3,7.620000
Starz,Music,15,7.140000
Starz,Drama,188,7.120000
Starz,Documentary,2,7.070000
Starz,Crime,94,6.960000
